GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
747935963,20180416,201804,2018,2018.2904,,,,,,,,,,,GOV,FIREFIGHTER,,,,,,GOV,,,1,073,073,07,2,7.4,10,1,10,-2.5,0,,,,,,,,1,United States,US,US,,39.828175,-98.5795,US,1,United States,US,US,,39.828175,-98.5795,US,20180416070000,https://sputnik-georgia.ru/incidents/20180416/240081186/Sklad-s-produktami-sgorel-nochju-v-Tbilisi.html
747936693,20180416,201804,2018,2018.2904,MIL,MILITARY,,,,,,MIL,,,RUS,RUSSIAN,RUS,,,,,,,,1,120,120,12,3,-4.0,2,1,2,-5.0251256281407,1,France,FR,FR,,46.0,2.0,FR,1,France,FR,FR,,46.0,2.0,FR,1,France,FR,FR,,46.0,2.0,FR,20180416070000,http://news.liga.net/world/news/makron-ubedil-trampa-snizit-silu-raketnogo-udara-po-sirii---wsj
747936302,20180416,201804,2018,2018.2904,FRA,FRANCE,FRA,,,,,,,,EUR,EUROPE,EUR,,,,,,,,1,042,042,04,1,1.9,10,1,10,2.53623188405797,1,France,FR,FR,,46.0,2.0,FR,1,France,FR,FR,,46.0,2.0,FR,1,France,FR,FR,,46.0,2.0,FR,20180416070000,http://www.europe1.fr/societe/plongee-au-coeur-du-nouveau-tribunal-de-paris-3627566
747936133,20180416,201804,2018,2018.2904,CHRCTH,THE POPE,,,,CHR,CTH,,,,ITA,ROME,ITA,,,,,,,,1,043,043,04,1,2.8,8,1,8,4.86891385767791,4,"Rome, Lazio, Italy",IT,IT07,18350,41.9,12.4833,-126693,4,"Rome, Lazio, Italy",IT,IT07,18350,41.9,12.4833,-126693,4,"Rome, Lazio, Italy",IT,IT07,18350,41.9,12.4833,-126693,20180416070000,https://www.am.com.mx/2018/04/15/mundo/conmueve-al-papa-la-pregunta-de-un-nino-de-10-anos-458902
747936571,20180416,201804,2018,2018.2904,JUD,LAWYER,,,,,,JUD,,,,,,,,,,,,,0,051,051,05,1,3.4,10,1,10,-3.97422126745435,2,"Florida, United States",US,USFL,,27.8333,-81.717,FL,0,,,,,,,,2,"Florida, United States",US,USFL,,27.8333,-81.717,FL,20180416070000,https://www.tdg.ch/monde/legislatives-attentats/story/23989611
747937048,20180416,201804,2018,2018.2904,VENOPP,VENEZUELAN,VEN,,,,,OPP,,,VEN,VENEZUELA,VEN,,,,,,,,0,111,111,11,3,-2.0,4,1,4,-6.74740484429066,1,Venezuela,VE,VE,,8.0,-66.0,VE,1,Venezuela,VE,VE,,8.0,-66.0,VE,1,Venezuela,VE,VE,,8.0,-66.0,VE,20180416070000,http://www.elcolombiano.com/opinion/columnistas/lo-grave-es-que-no-hubiese-polarizacion-XG8549642
747936793,20180416,201804,2018,2018.2904,REB,REBEL,,,,,,REB,,,RUS,RUSSIA,RUS,,,,,,,,1,180,180,18,4,-9.0,10,1,10,-2.47678018575851,1,Syria,SY,SY,,35.0,38.0,SY,1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,20180416070000,https://www.mako.co.il/news-military/israel-q2_2018/Article-d20e60e7fa8c261004.htm
747936858,20180416,201804,2018,2018.2904,SAU,SAUDI,SAU,,,,,,,,FRA,FRANCE,FRA,,,,,,,,1,046,046,04,1,7.0,8,1,8,-7.80487804878049,1,Saudi Arabia,SA,SA,,25.0,45.0,SA,1,France,FR,FR,,46.0,2.0,FR,1,Saudi Arabia,SA,SA,,25.0,45.0,SA,20180416070000,http://botasot.info/azia-bota/872313/liga-arabe-kerkon-hetim-per-sulmin-e-dyshuar-kimik-ne-siria/
747936795,20180416,201804,2018,2018.2904,REF,REFUGEE,,,,,,REF,,,,,,,,,,,,,0,020,020,02,1,3.0,10,1,10,-1.43927679314857,4,"Berlin, Berlin, Germany",GM,GM16,16538,52.5167,13.4,-1746443,0,,,,,,,,4,"Berlin, Berlin, Germany",GM,GM16,16538,52.5167,13.4,-1746443,20180416070000,https://www.augsburger-allgemeine.de/politik/Weniger-als-ein-Drittel-Frauenanteil-in-der-Bundesregierung-waechst-kaum-id42915776.html
747936554,20180416,201804,2018,2018.2904,ITA,ROME,ITA,,,,,,,,,,,,,,,,,,1,111,111,11,3,-2.0,10,1,10,-1.1070110701107,4,"Milan, Lombardia, Italy",IT,IT09,18363,45.4667,9.2,-121726,0,,,,,,,,4,"Milan, Lombardia, Italy",IT,IT09,18363,45.4667,9.2,-121726,20180416070000,http://www.ilgiornale.it/news/politica/mattarella-rompe-indugi-domani-pu-arrivare-lincarico-1515762.html
